Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
12/12/24,48.5,48.5,48.5,48.5,3,1000,48500
12/11/24,48.5,49.9,47.5,48.1,25,8974,430805.6
12/10/24,50,50,47,47,18,975,46070.1
12/9/24,48.5,51.5,48,49.6,51,25079,1236640
12/6/24,49,49,48,48,18,9056,436250.5
12/5/24,51,51,48.1,49.7,20,3455,172796.4
12/4/24,48.9,51.9,48.9,51.2,38,15514,796813.5
12/3/24,47,49.9,47,49.8,52,30847,1504382.2
12/2/24,47,47,46.9,46.9,2,1250,58725
11/29/24,47,47.4,46,47,9,3233,152405
11/28/24,46,47.4,46,46.1,8,1632,75235.5
11/27/24,45.8,47.9,45.7,47.7,10,1968,90872.2
11/26/24,48.5,48.5,45.7,45.8,9,339,15573.4
11/25/24,48.5,48.5,45.6,45.8,16,2262,103528.1
11/22/24,47.8,47.8,45.8,45.8,17,3071,140657.8
11/21/24,47.3,47.3,45.6,45.6,13,7759,355408.4
11/20/24,46.1,49,46.1,47.3,39,43830,2093652.7
11/19/24,46.9,46.9,45.6,46.1,20,3745,172727
11/18/24,47,47.2,47,47.1,9,5085,239397
11/14/24,48.1,49,46.7,46.7,18,11338,533083
11/13/24,48,49.9,47.8,48.1,64,22875,1112568.6
11/12/24,47,47.8,46.1,46.5,7,243,11353.6
11/11/24,47.6,48,47.5,47.8,5,210,10034.5
11/8/24,47.3,47.6,46.1,47,26,5870,278108.8
11/7/24,47.9,48.9,47.5,47.5,23,18092,875867
11/6/24,47.2,48,46.8,47.7,26,10187,482111
11/5/24,46.5,47.6,45.6,47.4,12,1395,65953
11/4/24,46.9,46.9,45.5,45.6,14,5417,246971.7
11/1/24,46,47.4,46,46.1,31,16907,782488.2
10/30/24,48.7,49,47.1,47.9,11,494,23817.8
10/29/24,48.3,48.7,47,47.7,47,13939,664737.3
10/28/24,45,48.8,44.5,46.4,99,43561,2027683.7
10/25/24,45.7,46.8,45,45,36,20691,938265
10/24/24,47.5,47.5,45.3,45.7,80,54558,2518560.5
10/23/24,47,49.3,45,45.7,86,42894,2013239.6
10/22/24,47,50,47,48,136,44410,2142112.3
10/21/24,45.3,47.9,45.3,46.9,167,82747,3867146.4
10/18/24,42,46.5,42,45.1,273,126980,5655070.5
10/16/24,41.1,42.4,40,42.1,41,18007,732335.2
