Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
2/3/25,8.7,8.7,8.4,8.4,29,151600,1280676
1/31/25,8.7,8.7,8.5,8.6,60,159499,1377223.5
1/30/25,8.4,8.7,8.4,8.5,72,235655,2006473.9
1/29/25,8.4,8.5,8.3,8.4,38,31753,265759
1/28/25,8.2,8.5,8.1,8.3,32,46128,383058.1
1/27/25,8.5,8.5,8.2,8.3,44,100138,830100.7
1/24/25,8.3,8.5,8.3,8.4,16,38634,324609
1/23/25,8.7,8.7,8.3,8.4,28,73100,610919.3
1/22/25,8.5,8.5,8.3,8.3,49,82954,696467.6
1/21/25,8.9,8.9,8.3,8.4,99,316909,2723703.6
1/20/25,8.9,8.9,8.2,8.8,192,1376369,12107043.6
1/17/25,7.9,8.9,7.8,8.6,380,2274482,19386084.1
1/16/25,7.9,8,7.8,7.8,28,121285,951591.7
1/15/25,8,8,7.8,7.9,19,29485,233038.5
1/10/25,7.7,8.3,7.7,7.9,69,186470,1474649.7
1/9/25,8.1,8.2,7.7,7.7,70,232075,1800588
1/8/25,8.2,8.2,7.8,7.9,48,153992,1246049.6
1/7/25,8,8.3,7.8,8,113,454563,3650104.2
1/6/25,8,8.4,7.7,7.9,195,976118,7704858.5
1/3/25,7.8,8.6,7.7,7.8,539,5430283,44725656.7
1/2/25,7.3,7.8,7.3,7.7,114,665806,5084157.3
12/31/24,7.5,7.6,7.3,7.3,75,154095,1130484.7
12/30/24,7.8,7.8,7.3,7.5,96,131644,996809.4
12/27/24,7.7,7.9,7.5,7.6,113,591526,4555370.3
12/26/24,7.6,7.8,7.5,7.7,124,582349,4442784
12/24/24,7.4,7.6,7.2,7.5,71,202076,1506403.3
12/23/24,7.6,7.8,7.4,7.4,76,258024,1968258.1
12/20/24,7.3,7.7,7.1,7.4,203,830788,6221594
12/19/24,7,7.4,7,7.3,131,309182,2213813.7
12/18/24,7.2,7.2,6.8,6.9,72,133891,927240.3
12/17/24,7.1,7.2,6.9,6.9,56,69935,488107.3
12/16/24,7.3,7.3,7,7,37,62748,442588.9
12/13/24,7.1,7.4,7,7.4,77,292758,2078959.6
12/12/24,7.1,7.3,7.1,7.1,58,132243,950224.8
12/11/24,7.5,7.5,7.2,7.2,52,126998,920088.8
12/10/24,7.3,7.6,7.2,7.5,148,393254,2905608.3
12/9/24,6.8,7.5,6.8,7.5,252,822700,6043711.4
12/6/24,6.8,6.8,6.6,6.7,36,108912,726105.6
12/5/24,6.9,6.9,6.7,6.8,17,29972,203714.3
12/4/24,6.8,6.9,6.7,6.8,35,36662,248370.4
12/3/24,6.6,6.8,6.6,6.8,11,12547,84209.4
12/2/24,6.7,6.7,6.6,6.6,11,41954,277062.3
11/29/24,6.5,6.7,6.4,6.7,38,68039,440549.3
11/28/24,6.6,6.8,6.4,6.6,61,141334,916058
11/27/24,6.6,6.9,6.5,6.6,127,291028,1974843.2
11/26/24,6.6,6.7,6.5,6.6,4,230,1525.9
11/25/24,6.8,6.8,6.6,6.6,8,14142,93341.1
11/22/24,6.6,6.8,6.6,6.8,15,14683,97956.6
11/21/24,6.7,6.7,6.6,6.7,8,26049,172093.4
11/20/24,6.5,6.7,6.5,6.6,7,5952,38738.4
11/19/24,6.6,6.6,6.5,6.6,32,104200,678631.4
11/18/24,6.6,6.6,6.5,6.5,32,44706,294515.5
11/14/24,6.6,6.6,6.5,6.5,11,61967,403929.6
11/13/24,6.6,6.6,6.5,6.5,59,151339,993106.8
11/12/24,6.6,6.7,6.6,6.6,8,9224,60897.5
11/11/24,6.7,6.7,6.6,6.6,6,4020,26584
11/8/24,6.7,6.8,6.7,6.7,6,2501,16756.8
11/7/24,6.6,6.7,6.6,6.7,9,8439,55881.2
11/6/24,6.6,6.7,6.5,6.6,21,78744,515021.6
11/5/24,6.8,6.8,6.5,6.6,34,99034,653248.1
11/4/24,6.6,6.8,6.6,6.8,25,32739,219344.8
11/1/24,6.8,6.8,6.6,6.7,19,38779,260038.6
10/30/24,6.8,6.8,6.6,6.7,19,13898,93293
10/29/24,6.6,6.8,6.6,6.7,7,3849,25617.4
10/28/24,6.6,6.6,6.5,6.6,30,121592,795258.9
10/25/24,6.7,6.7,6.5,6.7,20,83472,547778
10/24/24,6.8,6.8,6.6,6.6,12,8354,55305.3
10/23/24,6.7,6.7,6.5,6.7,26,49995,325321.2
10/22/24,6.6,6.7,6.6,6.6,12,12520,83332
10/21/24,6.8,6.8,6.6,6.6,17,32027,211595.6
10/18/24,6.8,6.8,6.6,6.8,33,56456,380018.7
10/16/24,6.8,6.8,6.6,6.7,8,20421,136611.1
10/15/24,6.7,6.7,6.6,6.6,21,84381,560899
10/14/24,6.5,6.7,6.5,6.7,6,10171,66145.7
10/11/24,6.5,6.8,6.5,6.7,19,19529,130231.1
10/10/24,6.6,6.6,6.5,6.6,17,13631,89962.6
10/9/24,6.7,6.7,6.5,6.6,15,32270,212809
10/8/24,6.7,6.8,6.7,6.7,4,1001,6706.8
10/7/24,6.8,6.8,6.3,6.7,26,151020,973590.7
10/4/24,6.7,6.7,6.4,6.6,26,69877,457357.6
10/3/24,6.8,6.8,6.6,6.6,20,36704,243210.1
10/2/24,7,7.1,6.8,6.8,18,32050,220145.5
10/1/24,6.9,7,6.8,6.9,23,12339,84986
9/30/24,6.9,7,6.9,6.9,36,118250,826666.5
9/27/24,7,7,6.7,6.9,25,51586,356696.7
9/26/24,7.1,7.1,6.8,6.8,29,71283,500553
9/25/24,6.8,7.1,6.7,7,41,132743,927451.7
9/24/24,6.7,6.8,6.5,6.7,23,36861,245168.9
9/23/24,6.5,7,6.5,6.7,19,36433,248649.8
9/20/24,6.4,6.5,6.2,6.3,27,55525,353429.5
9/19/24,6.4,6.4,6.3,6.4,11,1186,7590.3
9/18/24,6.4,6.4,6,6.2,46,55477,339454.4
