Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
5/21/24,10,10,9.9,9.9,5,1169,11590.1
5/20/24,9.8,10.2,9.8,9.9,6,5771,57059.9
5/17/24,9.9,10.4,9.8,10.2,54,195891,1967392.8
5/16/24,9.8,9.9,9.8,9.9,9,9202,90479.6
5/15/24,10.2,10.2,9.9,10,43,88191,879813.2
5/14/24,9.8,10.2,9.8,9.9,95,276316,2756268.8
5/13/24,9.6,9.7,9.6,9.7,15,35200,340270
5/10/24,9.7,10,9.5,9.5,42,43722,417786.5
5/9/24,9.7,9.9,9.6,9.9,8,2278,21957
5/8/24,10.1,10.3,9.6,9.7,44,222674,2212734
5/7/24,9.2,10.4,9,10.1,117,1281773,12360219.3
5/6/24,9,9.2,9,9,14,43253,389281
5/3/24,8.9,9.2,8.9,9,21,63180,567640.1
5/2/24,9.3,9.3,8.7,8.7,6,1156,10084.7
4/30/24,9,9.2,8.6,9,15,26633,239660.4
4/29/24,8.6,9.1,8.6,9.1,34,72841,656005.4
4/26/24,9,9.1,8.5,9,11,11300,101635
4/25/24,8.7,9.1,8.3,9,21,28606,250248.3
4/24/24,8.3,8.7,8.3,8.4,4,8125,67447.5
4/22/24,8.5,8.5,8.5,8.5,2,220,1870
4/19/24,9,9,8.3,8.3,11,7024,58317.7
4/18/24,8.7,8.8,8.3,8.7,12,73033,635391.2
4/17/24,8.7,8.7,8.7,8.3,1,5,43.5
4/16/24,8.3,8.3,8.3,8.3,2,800,6640
4/15/24,8.6,8.6,8.6,8.6,2,60,516
4/10/24,8.6,8.7,8.6,8.6,2,102,877.4
4/9/24,8.3,8.3,8.3,8.3,3,17968,149134.4
4/8/24,8.5,8.5,8.5,8.5,14,38930,330905
4/5/24,8.2,8.4,8.2,8.2,5,3430,28132
4/4/24,8.5,8.5,8.4,8.2,2,16,135.9
4/3/24,8.5,8.5,8.2,8.2,9,2176,17865
4/2/24,8.5,8.5,8.5,8.2,1,10,85
4/1/24,8.2,8.5,8.2,8.2,8,5305,43602.5
3/28/24,8.7,8.7,8.3,8.3,4,225,1877.5
3/27/24,8.7,8.7,8.7,8.3,4,35,304.5
3/26/24,8.7,8.7,8.7,8.3,1,5,43.5
