Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
8/8/23,14.1,14.4,13.8,14,16,24547,344472.8
8/7/23,14.6,14.9,14.4,14.5,23,17165,249808
8/4/23,14.8,15,14.6,14.6,13,7208,105439.2
8/3/23,15,15,14.6,14.7,40,133629,1992697
8/2/23,14.9,14.9,14.7,14.7,4,2079,30577.1
7/31/23,15,15.2,14.9,14.9,16,126841,1902815
7/28/23,15,15,14.4,14.7,29,146611,2199022.6
7/27/23,14.4,14.9,14.4,14.8,36,42002,620591.1
7/26/23,14.8,14.8,14.3,14.5,17,39398,568400.8
7/25/23,14.5,14.9,14.5,14.8,19,11421,168642.3
7/24/23,15.1,15.1,14.7,15,35,52365,785412.2
7/21/23,14.5,15.3,14.5,15,35,195127,2926891.7
7/20/23,15.1,15.1,14.7,15,37,74069,1110907.9
7/19/23,14.3,15.3,14.3,15,60,121707,1819070.6
7/18/23,13.6,14.2,13.6,14.2,31,51538,726582.3
7/17/23,13.5,14.1,13.5,14,39,54204,757475.6
7/14/23,13.7,13.7,13.6,13.6,24,5952,81042.3
7/13/23,13.6,13.7,13.6,13.6,29,62511,854420.5
7/12/23,13.7,13.7,13.6,13.6,25,9379,127805.5
7/11/23,13.8,13.8,13.3,13.4,32,54639,734376.5
7/10/23,14.2,14.2,13.7,14,22,107443,1524283.6
7/7/23,13.6,14.2,13.4,14,68,193420,2703106.5
7/6/23,13.2,13.6,13,13.5,55,994996,13428169.9
7/5/23,12.8,13.5,12.4,13,80,179865,2334583.9
7/4/23,12.2,12.8,12.2,12.7,30,51547,643265.3
6/28/23,11.8,11.8,11.7,11.7,4,4350,50910
6/27/23,12,12,11.9,11.9,10,2000,23820
6/26/23,11.6,12.1,11.6,12,5,9747,113710.2
6/23/23,12.2,12.2,11.6,11.9,17,14897,179783.1
6/22/23,12,12,12,12,5,23000,276000
6/21/23,12,12,12,12,2,3233,38796
6/20/23,12.1,12.3,12,12,24,77106,927293.2
6/19/23,12.3,12.3,12.1,12.2,12,10833,132455.5
6/16/23,12.3,12.6,12.3,12.3,17,87688,1085955.7
6/15/23,12.3,12.5,12,12,19,15530,191055.7
6/14/23,12.3,12.3,12,12,27,46658,559919.7
6/13/23,11.6,12.2,11.6,12,36,340436,4013592.8
6/12/23,11.4,11.6,11.4,11.5,42,116831,1344038.3
