Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),TradeVolume,ShareVolume,Turnover (Rs.)
6/24/24,173.75,175,171,172,43,26155,4529280.5
6/20/24,177.5,178,173,173.75,32,7211,1257184
6/19/24,179.5,179.5,177,177,15,8485,1503060.5
6/18/24,180,180,176.75,177,10,1014,179412.5
6/14/24,177.25,178,177,178,11,9243,1638346.5
6/13/24,177,178,177,177,4,577,102131
6/12/24,179.5,179.5,176.75,177,16,4684,828960.5
6/11/24,177,179.5,177,177.75,9,281,49832
6/11/24,177,179.5,177,177.75,9,281,49832
6/10/24,178,179.5,177,177.25,20,10897,1937726.5
6/7/24,178.5,178.5,178,178,12,8875,1580256.5
6/6/24,180,180,179.5,179.5,6,6011,1079480
6/5/24,177.5,179,177,177.5,18,1620,287382.5
6/4/24,180,180,177.5,177.5,2,11,1955
6/3/24,178,179,177.5,177.5,11,333,59123.5
5/31/24,182,182.5,177.75,178,18,1863,331566.25
5/30/24,181,182,177.75,178,42,14056,2503385.25
5/29/24,183,183,178,178.25,25,5927,1072370
5/28/24,185,185,182.5,183.75,3,120,22037.5
5/27/24,185,185,184.5,185,7,6974,1290179.25
5/22/24,177.25,198,177,182.75,18,1501,282822.5
5/21/24,177,177.5,177,177.5,12,3109,550347.5
5/20/24,179.5,179.5,177,177.5,17,29627,5258660.5
5/17/24,179.75,179.75,179,179.5,9,1770,317685
5/16/24,180,180,180,177.5,2,4,720
5/15/24,178.25,180,177,177.5,26,16244,2885971
5/14/24,180,180,178,178.25,27,14826,2652773.75
5/13/24,182.5,182.5,179.25,182,8,1763,320486.75
5/10/24,179.75,182.5,179.75,182.5,30,20770,3756845.75
5/9/24,177.25,177.75,176.5,176.75,16,2635,465427.5
5/8/24,178.75,179.25,176,177,33,12677,2255219.75
5/7/24,179,180,179,179,28,14360,2570595
5/6/24,179.5,180,179,179.25,23,14450,2591954
5/3/24,180,182,179.5,179.5,31,5898,1061153.5
5/2/24,181,181.5,180,180.5,33,4124,745311.5
4/30/24,181.5,184.5,178,184,61,20304,3703896.75
4/29/24,184,184.75,180,181,48,7978,1454196.5
4/26/24,184.75,186,180,181,63,21050,3832513.75
4/25/24,183,185,181,184.75,14,1548,285790.75
4/24/24,175,190,175,180.75,108,32005,5829917.75
4/22/24,176.5,179,175,175,23,3459,612864.5
4/19/24,177.25,178,176.5,176.5,15,2315,409619.5
4/18/24,180,180,177,177.25,11,4419,784653
4/17/24,173.5,182.75,173.25,179.75,55,56351,9938006.25
4/16/24,175,175,170.5,172.5,34,9808,1696858.75
4/15/24,177,179,175,175.25,25,10919,1930576.5
4/10/24,177.25,177.25,177.25,177.25,7,1329,235565.25
4/9/24,181.25,181.25,177,177,18,17684,3134528.5
4/8/24,180,185,180,180.75,48,6669,1208647.5
4/5/24,178.5,180,176.25,180,37,9572,1719461.5
4/4/24,174.75,180,174.75,178.5,36,41525,7270442.5
4/3/24,171,174.75,171,174.25,20,1364,237222
4/2/24,171,171,169,170.25,24,12492,2126354
4/1/24,173.75,173.75,171,171,6,766,131031.75
3/28/24,175,175,173,173,11,5237,914503.5
3/27/24,173,175,173,174.75,24,13797,2413571.25
3/26/24,172.25,175,172,175,17,8947,1557477.5
3/25/24,177.5,177.5,172,174,20,5979,1044179
3/22/24,175,177.5,175,175.75,84,32889,5792508
3/21/24,172.5,174.75,172,174,72,91457,15840860
3/20/24,170,174.5,170,172.5,67,15123,2600750.75
3/19/24,164.75,169.5,164.75,169,20,32225,5376621.25
3/18/24,165,168,164,165,13,2134,351488.25
3/15/24,166.25,166.25,164,165,39,17610,2904801
3/14/24,166,167.5,164.5,164.75,21,12203,2014552.75
3/13/24,167,167,164,167,21,24107,4018698
3/12/24,168,168,165.5,167,12,7529,1258493.5
3/11/24,165,166.5,165,166.25,54,26761,4425661.5
3/7/24,163,165,163,164.25,9,3827,630052
3/6/24,162.5,165,162,162,33,16349,2663917
3/5/24,165,165,161.25,163,22,9855,1610233.25
3/4/24,165,165,160.25,161.25,12,1010,163042
3/1/24,165,167,164,165,24,7149,1177515
2/29/24,165.25,167,165,166.25,12,4189,696420.75
2/28/24,167.5,167.5,164,166,14,9371,1538060.75
2/27/24,162,167.5,162,165,3,465,76692.5
2/26/24,168,168,162,166.5,19,10374,1700222
2/22/24,169,169,165.75,169.75,4,57,9568
2/21/24,169,169,169,169.75,1,50,8450
2/20/24,170,170,169.5,169.75,6,332,56359
2/19/24,161,164.75,160,161.25,33,11032,1770282.5
2/16/24,164,164,160.5,160.5,15,41808,6731191.25
2/15/24,163,163,161,161,13,1615,261107.5
2/14/24,163.5,163.5,160.5,162,5,503,81501.5
2/13/24,165,165,163.25,163.5,2,8,1314.75
2/12/24,163,165,163,163.5,6,58,9500
2/9/24,167,167,163,163.5,18,1819,299587.75
2/8/24,167,167,164.75,164.75,21,3044,505939.75
2/7/24,168.75,168.75,165,166.25,31,14914,2479835.5
2/6/24,170,170,166.75,167,18,36697,6186926
2/2/24,173.75,173.75,167,167,12,3000,508951
2/1/24,169,169,165,168,62,23406,3911586.25
1/31/24,175,175,170.25,170.5,28,8762,1493254.25
1/30/24,177,177,174,175.5,6,1354,238215.5
1/29/24,176.75,176.75,175,175,2,1351,238525
1/26/24,177,177,172.75,176.75,13,7261,1283230
1/24/24,177,177,173.5,173.5,8,21,3685
1/23/24,174.5,178,173.5,173.5,7,2051,355999.5
1/22/24,172.5,178.5,172.5,174.5,10,1069,186458.75
1/19/24,175,179,174.25,179,9,1933,339201.25
1/18/24,174,180,174,175.5,21,22381,3927926.75
1/17/24,179.5,180,175,175,12,1300,230979.5
1/16/24,178.75,179.5,177,177.5,12,428,75990.25
1/12/24,178,178.75,175.5,178,28,21693,3861394.5
1/11/24,176,178,174,175,47,42499,7440144
1/10/24,175,179,175,179,15,4742,833050
1/9/24,176,180,175.5,179.75,10,133,23817.5
1/8/24,180,180,175.5,178.25,27,2471,443844.75
1/5/24,180,180.25,179.75,180,17,19650,3537245
1/4/24,184,184,180,181,10,2932,530464.75
1/3/24,184,184,180,180.5,16,1401,253024.5
1/2/24,185,185,180,181,32,2786,507485.75
12/29/23,184,187,184,185.5,10,2165,401647
12/28/23,183.5,184,183.5,184,8,841,154740.5
12/27/23,185,185,183,183,8,122,22330
12/22/23,183,186.5,182.75,183,5,132,24140.5
12/21/23,183,187,183,187,8,216,40115.75
12/20/23,187,187,185,186.25,9,104,19373
12/19/23,187,187,182.75,186.25,4,135,25146.25
12/18/23,187,187,187,186,3,17,3179
12/15/23,186,188,186,186,18,4505,838350.5
12/14/23,188.25,188.25,186,187.75,19,1312,246399.75
12/13/23,190,194,187.5,188,22,2517,485147.75
12/12/23,191.25,191.5,186,187.5,21,32341,6082224.5
12/11/23,190,190.75,188,188.25,26,41245,7771107.25
12/8/23,190.5,191,189,190,22,4482,851991.5
12/7/23,185.5,191.5,185.5,190,9,1393,264730
12/6/23,187,190,185.5,189.25,44,31481,5934718
12/5/23,186,188.75,185.5,186,29,48729,9114739.5
12/4/23,184,189,184,186.25,32,20744,3860503
12/1/23,184.75,187,181.5,182.75,18,2103,385019
11/30/23,181,184,180,182,8,4932,896183
11/29/23,181.75,184,181,181.5,27,11088,2012491.5
11/28/23,178.5,180,176.25,177,24,10970,1942125.25
11/27/23,184.5,184.5,180,180,9,5494,988940.5
11/24/23,180,184.75,180,180,6,509,91627
11/23/23,186.75,186.75,180,180.25,19,5215,943969.25
11/22/23,180,184,176.5,180,38,20153,3628807.5
11/21/23,179.75,181.25,175,175.5,60,14937,2660239
11/20/23,182,182,179,179.75,26,12344,2221783
11/17/23,186.5,186.5,182,182.25,33,2053,373961
11/16/23,189,189,182.75,183,24,100988,18592093.75
11/15/23,189.25,190,184.75,186,31,7662,1423287
11/14/23,189.25,192,189.25,190.5,3,386,73545.5
11/13/23,196,196,189.25,191.75,8,498,96644.5
11/10/23,196,196,188.5,189.5,9,256,48700.5
11/9/23,196,196,190,192.25,7,849,163257.5
11/8/23,194.5,200,192.75,194,38,11270,2194381
11/7/23,187,195,187,194.25,19,6023,1162817.25
11/6/23,195,195,195,194,2,11,2145
11/3/23,190,197.5,190,194,90,21823,4224883.75
11/2/23,189,192.5,186.5,188,16,6624,1248256
11/1/23,186,191.75,185.75,191,19,5282,993907.25
